"Modelo","Parametro","Dataset","Acuracia","Recall","Especificidade","F1","AUC"
"XGB","nrounds=350",1,0.254364089775561,1,0.143266475644699,0.258064516129032,0.57163323782235
"XGB","nrounds=350",2,0.366583541147132,0.980769230769231,0.275071633237822,0.286516853932584,0.627920432003527
"XGB","nrounds=350",3,0.321695760598504,1,0.220630372492837,0.276595744680851,0.610315186246418
"XGB","nrounds=350",4,0.359102244389027,0.942307692307692,0.272206303724928,0.276056338028169,0.60725699801631
"XGB","nrounds=350",5,0.334164588528678,0.942307692307692,0.243553008595989,0.268493150684932,0.592930350451841
"XGB","nrounds=350",6,0.246882793017456,1,0.134670487106017,0.25615763546798,0.567335243553009
"XGB","nrounds=350",7,0.314214463840399,0.980769230769231,0.214899713467049,0.270557029177719,0.59783447211814
"XGB","nrounds=350",8,0.276807980049875,0.980769230769231,0.171919770773639,0.260204081632653,0.576344500771435
"XGB","nrounds=350",9,0.329177057356608,0.942307692307692,0.237822349570201,0.267029972752044,0.590065020938946
"XGB","nrounds=350",10,0.306733167082294,1,0.203438395415473,0.272251308900524,0.601719197707736
